Data,Ano,Mes_Num,Mes_Nome,Dia,Dia_Semana_Num,Dia_Semana_Nome,Eh_Fim_Semana
2024-01-01,2024,1,January,1,0,Segunda-feira,0
2024-01-02,2024,1,January,2,1,Terça-feira,0
2024-01-03,2024,1,January,3,2,Quarta-feira,0
2024-01-04,2024,1,January,4,3,Quinta-feira,0
2024-01-05,2024,1,January,5,4,Sexta-feira,0
2024-01-06,2024,1,January,6,5,Sábado,1
2024-01-07,2024,1,January,7,6,Domingo,1
2024-01-08,2024,1,January,8,0,Segunda-feira,0
2024-01-09,2024,1,January,9,1,Terça-feira,0
2024-01-10,2024,1,January,10,2,Quarta-feira,0
2024-01-11,2024,1,January,11,3,Quinta-feira,0
2024-01-12,2024,1,January,12,4,Sexta-feira,0
2024-01-13,2024,1,January,13,5,Sábado,1
2024-01-14,2024,1,January,14,6,Domingo,1
2024-01-15,2024,1,January,15,0,Segunda-feira,0
2024-01-16,2024,1,January,16,1,Terça-feira,0
2024-01-17,2024,1,January,17,2,Quarta-feira,0
2024-01-18,2024,1,January,18,3,Quinta-feira,0
2024-01-19,2024,1,January,19,4,Sexta-feira,0
2024-01-20,2024,1,January,20,5,Sábado,1
2024-01-21,2024,1,January,21,6,Domingo,1
2024-01-22,2024,1,January,22,0,Segunda-feira,0
2024-01-23,2024,1,January,23,1,Terça-feira,0
2024-01-24,2024,1,January,24,2,Quarta-feira,0
2024-01-25,2024,1,January,25,3,Quinta-feira,0
2024-01-26,2024,1,January,26,4,Sexta-feira,0
2024-01-27,2024,1,January,27,5,Sábado,1
2024-01-28,2024,1,January,28,6,Domingo,1
2024-01-29,2024,1,January,29,0,Segunda-feira,0
2024-01-30,2024,1,January,30,1,Terça-feira,0
2024-01-31,2024,1,January,31,2,Quarta-feira,0
2024-02-01,2024,2,February,1,3,Quinta-feira,0
2024-02-02,2024,2,February,2,4,Sexta-feira,0
2024-02-03,2024,2,February,3,5,Sábado,1
2024-02-04,2024,2,February,4,6,Domingo,1
2024-02-05,2024,2,February,5,0,Segunda-feira,0
2024-02-06,2024,2,February,6,1,Terça-feira,0
2024-02-07,2024,2,February,7,2,Quarta-feira,0
2024-02-08,2024,2,February,8,3,Quinta-feira,0
2024-02-09,2024,2,February,9,4,Sexta-feira,0
2024-02-10,2024,2,February,10,5,Sábado,1
2024-02-11,2024,2,February,11,6,Domingo,1
2024-02-12,2024,2,February,12,0,Segunda-feira,0
2024-02-13,2024,2,February,13,1,Terça-feira,0
2024-02-14,2024,2,February,14,2,Quarta-feira,0
2024-02-15,2024,2,February,15,3,Quinta-feira,0
2024-02-16,2024,2,February,16,4,Sexta-feira,0
2024-02-17,2024,2,February,17,5,Sábado,1
2024-02-18,2024,2,February,18,6,Domingo,1
2024-02-19,2024,2,February,19,0,Segunda-feira,0
2024-02-20,2024,2,February,20,1,Terça-feira,0
2024-02-21,2024,2,February,21,2,Quarta-feira,0
2024-02-22,2024,2,February,22,3,Quinta-feira,0
2024-02-23,2024,2,February,23,4,Sexta-feira,0
2024-02-24,2024,2,February,24,5,Sábado,1
2024-02-25,2024,2,February,25,6,Domingo,1
2024-02-26,2024,2,February,26,0,Segunda-feira,0
2024-02-27,2024,2,February,27,1,Terça-feira,0
2024-02-28,2024,2,February,28,2,Quarta-feira,0
2024-02-29,2024,2,February,29,3,Quinta-feira,0
2024-03-01,2024,3,March,1,4,Sexta-feira,0
2024-03-02,2024,3,March,2,5,Sábado,1
2024-03-03,2024,3,March,3,6,Domingo,1
2024-03-04,2024,3,March,4,0,Segunda-feira,0
2024-03-05,2024,3,March,5,1,Terça-feira,0
2024-03-06,2024,3,March,6,2,Quarta-feira,0
2024-03-07,2024,3,March,7,3,Quinta-feira,0
2024-03-08,2024,3,March,8,4,Sexta-feira,0
2024-03-09,2024,3,March,9,5,Sábado,1
2024-03-10,2024,3,March,10,6,Domingo,1
2024-03-11,2024,3,March,11,0,Segunda-feira,0
2024-03-12,2024,3,March,12,1,Terça-feira,0
2024-03-13,2024,3,March,13,2,Quarta-feira,0
2024-03-14,2024,3,March,14,3,Quinta-feira,0
2024-03-15,2024,3,March,15,4,Sexta-feira,0
2024-03-16,2024,3,March,16,5,Sábado,1
2024-03-17,2024,3,March,17,6,Domingo,1
2024-03-18,2024,3,March,18,0,Segunda-feira,0
2024-03-19,2024,3,March,19,1,Terça-feira,0
2024-03-20,2024,3,March,20,2,Quarta-feira,0
2024-03-21,2024,3,March,21,3,Quinta-feira,0
2024-03-22,2024,3,March,22,4,Sexta-feira,0
2024-03-23,2024,3,March,23,5,Sábado,1
2024-03-24,2024,3,March,24,6,Domingo,1
2024-03-25,2024,3,March,25,0,Segunda-feira,0
2024-03-26,2024,3,March,26,1,Terça-feira,0
2024-03-27,2024,3,March,27,2,Quarta-feira,0
2024-03-28,2024,3,March,28,3,Quinta-feira,0
2024-03-29,2024,3,March,29,4,Sexta-feira,0
2024-03-30,2024,3,March,30,5,Sábado,1
2024-03-31,2024,3,March,31,6,Domingo,1
2024-04-01,2024,4,April,1,0,Segunda-feira,0
2024-04-02,2024,4,April,2,1,Terça-feira,0
2024-04-03,2024,4,April,3,2,Quarta-feira,0
2024-04-04,2024,4,April,4,3,Quinta-feira,0
2024-04-05,2024,4,April,5,4,Sexta-feira,0
2024-04-06,2024,4,April,6,5,Sábado,1
2024-04-07,2024,4,April,7,6,Domingo,1
2024-04-08,2024,4,April,8,0,Segunda-feira,0
2024-04-09,2024,4,April,9,1,Terça-feira,0
2024-04-10,2024,4,April,10,2,Quarta-feira,0
2024-04-11,2024,4,April,11,3,Quinta-feira,0
2024-04-12,2024,4,April,12,4,Sexta-feira,0
2024-04-13,2024,4,April,13,5,Sábado,1
