order_id,order_date,product_category,product_name,quantity,unit_price,total_value,customer_region,payment_method,order_status
ORD-0001,2024-01-01,Eletrônicos,Cabo HDMI 2m,1,41.17,41.17,Nordeste,Cartao,Entregue
ORD-0002,2024-01-01,Beleza,Pinceis de Maquiagem Kit 12pc,1,86.09,86.09,Sul,Cartao,Entregue
ORD-0003,2024-01-01,Esportes,Tênis de Corrida Nike,1,410.93,410.93,Sudeste,Cartao,Entregue
ORD-0004,2024-01-01,Esportes,Tapete de Yoga 6mm,2,72.96,145.92,Sul,PIX,Entregue
ORD-0005,2024-01-02,Beleza,Pinceis de Maquiagem Kit 12pc,1,74.26,74.26,Sudeste,PIX,Entregue
ORD-0006,2024-01-02,Eletrônicos,Teclado Mecânico Redragon,2,309.04,618.08,Nordeste,PIX,Entregue
ORD-0007,2024-01-03,Moda,Boné Snapback,2,61.47,122.94,Sudeste,PIX,Entregue
ORD-0008,2024-01-03,Moda,Meia Kit 3 pares,2,26.91,53.82,Sudeste,Cartao,Entregue
ORD-0009,2024-01-03,Livros,Pai Rico Pai Pobre,1,44.99,44.99,Sudeste,Boleto,Entregue
ORD-0010,2024-01-03,Livros,Algoritmos - CLRS,3,157.02,471.06,Sudeste,Boleto,Entregue
ORD-0011,2024-01-04,Esportes,Garrafa Térmica 1L,1,61.13,61.13,Norte,Cartao,Entregue
ORD-0012,2024-01-04,Moda,Meia Kit 3 pares,1,31.7,31.7,Centro-Oeste,PIX,Entregue
ORD-0013,2024-01-04,Moda,Camisa Social Slim Fit,1,111.02,111.02,Sul,PIX,Em transito
ORD-0014,2024-01-04,Casa e Jardim,Regador de Jardim 5L,1,35.72,35.72,Centro-Oeste,PIX,Entregue
ORD-0015,2024-01-04,Livros,Sapiens - Uma Breve Historia,2,45.02,90.04,Nordeste,Cartao,Entregue
ORD-0016,2024-01-05,Livros,A Startup Enxuta,1,47.54,47.54,Centro-Oeste,PIX,Cancelado
ORD-0017,2024-01-05,Eletrônicos,Smartphone Samsung Galaxy A54,2,1415.53,2831.06,Sudeste,PIX,Entregue
ORD-0018,2024-01-06,Livros,A Startup Enxuta,3,39.87,119.61,Nordeste,Cartao,Entregue
ORD-0019,2024-01-07,Moda,Meia Kit 3 pares,1,30.78,30.78,Nordeste,Cartao,Entregue
ORD-0020,2024-01-07,Esportes,Garrafa Térmica 1L,1,58.58,58.58,Sudeste,Boleto,Entregue
ORD-0021,2024-01-07,Casa e Jardim,Tapete Sala 2x3m,1,175.04,175.04,Nordeste,PIX,Entregue
ORD-0022,2024-01-08,Casa e Jardim,Tapete Sala 2x3m,1,179.47,179.47,Sudeste,PIX,Entregue
ORD-0023,2024-01-08,Moda,Meia Kit 3 pares,3,31.33,93.99,Centro-Oeste,Cartao,Entregue
ORD-0024,2024-01-08,Moda,Calça Jeans Skinny,1,152.79,152.79,Norte,Cartao,Entregue
ORD-0025,2024-01-08,Esportes,Tapete de Yoga 6mm,1,78.32,78.32,Nordeste,PIX,Entregue
ORD-0026,2024-01-09,Livros,A Startup Enxuta,1,45.52,45.52,Sudeste,PIX,Entregue
ORD-0027,2024-01-09,Casa e Jardim,Kit Ferramentas 42 peças,1,125.54,125.54,Sudeste,PIX,Entregue
